id,model,url,status
1,GT 10 Pro,https://www.gsmarena.com/infinix_gt_10_pro-12451.php,pending
2,GT 20 Pro,https://www.gsmarena.com/infinix_gt_20_pro-12962.php,pending
3,GT 30,https://www.gsmarena.com/infinix_gt_30_5g-14044.php,pending
4,GT 30 Pro,https://www.gsmarena.com/infinix_gt_30_pro_5g-13889.php,pending
5,Hot 10,https://www.gsmarena.com/infinix_hot_10-10452.php,pending
6,Hot 10 Lite,https://www.gsmarena.com/infinix_hot_10_lite-10516.php,pending
7,Hot 10 Play,https://www.gsmarena.com/infinix_hot_10_play-10699.php,pending
8,Hot 10i,https://www.gsmarena.com/infinix_hot_10i-11031.php,pending
9,Hot 10s,https://www.gsmarena.com/infinix_hot_10s-10868.php,pending
10,Hot 10s NFC,https://www.gsmarena.com/infinix_hot_10s_nfc-10869.php,pending
11,Hot 10T,https://www.gsmarena.com/infinix_hot_10t-10891.php,pending
12,Hot 11,https://www.gsmarena.com/infinix_hot_11-11161.php,pending
13,Hot 11 2022,https://www.gsmarena.com/infinix_hot_11_2022-11478.php,pending
14,Hot 11 Play,https://www.gsmarena.com/infinix_hot_11_play-11216.php,pending
15,Hot 11s,https://www.gsmarena.com/infinix_hot_11s-11162.php,pending
16,Hot 11s NFC,https://www.gsmarena.com/infinix_hot_11s_nfc-11605.php,pending
17,Hot 12,https://www.gsmarena.com/infinix_hot_12-11498.php,pending
18,Hot 12 Play,https://www.gsmarena.com/infinix_hot_12_play-11547.php,pending
19,Hot 12 Play NFC,https://www.gsmarena.com/infinix_hot_12_play_nfc-11876.php,pending
20,Hot 12 Pro,https://www.gsmarena.com/infinix_hot_12_pro-11822.php,pending
21,Hot 12i,https://www.gsmarena.com/infinix_hot_12i-11473.php,pending
22,Hot 20,https://www.gsmarena.com/infinix_hot_20-11929.php,pending
23,Hot 20 5G,https://www.gsmarena.com/infinix_hot_20_5g-11923.php,pending
24,Hot 20 Play,https://www.gsmarena.com/infinix_hot_20_play-11931.php,pending
25,Hot 20i,https://www.gsmarena.com/infinix_hot_20i-11924.php,pending
26,Hot 20S,https://www.gsmarena.com/infinix_hot_20s-11930.php,pending
27,Hot 30,https://www.gsmarena.com/infinix_hot_30-12214.php,pending
28,Hot 30 5G,https://www.gsmarena.com/infinix_hot_30_5g-12424.php,pending
29,Hot 30 Play NFC,https://www.gsmarena.com/infinix_hot_30_play_nfc-12289.php,pending
30,Hot 30i,https://www.gsmarena.com/infinix_hot_30i-12216.php,pending
