id,model,url,status
1,Defy (2021),https://www.gsmarena.com/motorola_defy_(2021)-10969.php,pending
2,Defy 2,https://www.gsmarena.com/motorola_defy_2-12141.php,pending
3,Droid Maxx 2,https://www.gsmarena.com/motorola_droid_maxx_2-7712.php,pending
4,Droid Turbo 2,https://www.gsmarena.com/motorola_droid_turbo_2-7713.php,pending
5,Edge+ (2020),https://www.gsmarena.com/motorola_edge+_(2020)-10119.php,pending
6,Edge+ (2023),https://www.gsmarena.com/motorola_edge+_(2023)-12251.php,pending
7,Edge+ 5G UW (2022),https://www.gsmarena.com/motorola_edge+_5g_uw_(2022)-11755.php,pending
8,Edge,https://www.gsmarena.com/motorola_edge-10133.php,pending
9,Edge (2021),https://www.gsmarena.com/motorola_edge_(2021)-11061.php,pending
10,Edge (2022),https://www.gsmarena.com/motorola_edge_(2022)-11777.php,pending
11,Edge (2023),https://www.gsmarena.com/motorola_edge_(2023)-12620.php,pending
12,Edge (2024),https://www.gsmarena.com/motorola_edge_(2024)-13111.php,pending
13,Edge (2025),https://www.gsmarena.com/motorola_edge_(2025)-13907.php,pending
14,Edge 20,https://www.gsmarena.com/motorola_edge_20-11034.php,pending
15,Edge 20 Fusion,https://www.gsmarena.com/motorola_edge_20_fusion-11056.php,pending
16,Edge 20 Lite,https://www.gsmarena.com/motorola_edge_20_lite-11035.php,pending
17,Edge 20 Pro,https://www.gsmarena.com/motorola_edge_20_pro-11004.php,pending
18,Edge 30,https://www.gsmarena.com/motorola_edge_30-11500.php,pending
19,Edge 30 Fusion,https://www.gsmarena.com/motorola_edge_30_fusion-11851.php,pending
20,Edge 30 Neo,https://www.gsmarena.com/motorola_edge_30_neo-11635.php,pending
21,Edge 30 Pro,https://www.gsmarena.com/motorola_edge_30_pro-11320.php,pending
22,Edge 30 Ultra,https://www.gsmarena.com/motorola_edge_30_ultra-11206.php,pending
23,Edge 40,https://www.gsmarena.com/motorola_edge_40-12204.php,pending
24,Edge 40 Neo,https://www.gsmarena.com/motorola_edge_40_neo-12467.php,pending
25,Edge 40 Pro,https://www.gsmarena.com/motorola_edge_40_pro-12127.php,pending
26,Edge 50,https://www.gsmarena.com/motorola_edge_50-13231.php,pending
27,Edge 50 Fusion,https://www.gsmarena.com/motorola_edge_50_fusion-12871.php,pending
28,Edge 50 Neo,https://www.gsmarena.com/motorola_edge_50_neo-13224.php,pending
29,Edge 50 Pro,https://www.gsmarena.com/motorola_edge_50_pro-12909.php,pending
30,Edge 50 Ultra,https://www.gsmarena.com/motorola_edge_50_ultra-12919.php,pending
31,Edge 5G UW (2021),https://www.gsmarena.com/motorola_edge_5g_uw_(2021)-11753.php,pending
32,Edge 60,https://www.gsmarena.com/motorola_edge_60-13779.php,pending
33,Edge 60 Fusion,https://www.gsmarena.com/motorola_edge_60_fusion-13752.php,pending
34,Edge 60 Neo,https://www.gsmarena.com/motorola_edge_60_neo_5g-14124.php,pending
35,Edge 60 Pro,https://www.gsmarena.com/motorola_edge_60_pro-13815.php,pending
36,Edge 60 Stylus,https://www.gsmarena.com/motorola_edge_60_stylus_5g-13785.php,pending
37,Edge 60s,https://www.gsmarena.com/motorola_edge_60s_5g-13856.php,pending
38,Edge 70,https://www.gsmarena.com/motorola_edge_70_5g-14216.php,pending
39,Edge S,https://www.gsmarena.com/motorola_edge_s-10705.php,pending
40,Edge S30,https://www.gsmarena.com/motorola_edge_s30-11263.php,pending
41,Edge X30,https://www.gsmarena.com/motorola_edge_x30-11262.php,pending
42,G96,https://www.gsmarena.com/motorola_g96_5g-13989.php,pending
43,G Pure,https://www.gsmarena.com/motorola_g_pure-11145.php,pending
44,Moto 360 Sport (1st gen),https://www.gsmarena.com/motorola_moto_360_sport_(1st_gen)-7685.php,pending
45,Moto C,https://www.gsmarena.com/motorola_moto_c-8645.php,pending
46,Moto C Plus,https://www.gsmarena.com/motorola_moto_c_plus-8646.php,pending
47,Moto E13,https://www.gsmarena.com/motorola_moto_e13-12090.php,pending
48,Moto E14,https://www.gsmarena.com/motorola_moto_e14-13148.php,pending
49,Moto E15,https://www.gsmarena.com/motorola_moto_e15-13574.php,pending
50,Moto E20,https://www.gsmarena.com/motorola_moto_e20-11072.php,pending
51,Moto E22,https://www.gsmarena.com/motorola_moto_e22-11883.php,pending
52,Moto E22i,https://www.gsmarena.com/motorola_moto_e22i-11884.php,pending
53,Moto E22s,https://www.gsmarena.com/motorola_moto_e22s-11837.php,pending
54,Moto E3,https://www.gsmarena.com/motorola_moto_e3-8198.php,pending
55,Moto E30,https://www.gsmarena.com/motorola_moto_e30-11199.php,pending
56,Moto E32,https://www.gsmarena.com/motorola_moto_e32-11485.php,pending
57,Moto E32 (India),https://www.gsmarena.com/motorola_moto_e32_(india)-11920.php,pending
58,Moto E32s,https://www.gsmarena.com/motorola_moto_e32s-11555.php,pending
59,Moto E3 Power,https://www.gsmarena.com/motorola_moto_e3_power-8337.php,pending
60,Moto E4,https://www.gsmarena.com/motorola_moto_e4-8721.php,pending
61,Moto E40,https://www.gsmarena.com/motorola_moto_e40-11112.php,pending
62,Moto E4 (USA),https://www.gsmarena.com/motorola_moto_e4_(usa)-8665.php,pending
63,Moto E4 Plus,https://www.gsmarena.com/motorola_moto_e4_plus-8722.php,pending
64,Moto E4 Plus (USA),https://www.gsmarena.com/motorola_moto_e4_plus_(usa)-8666.php,pending
65,Moto E5,https://www.gsmarena.com/motorola_moto_e5-9008.php,pending
66,Moto E5 Cruise,https://www.gsmarena.com/motorola_moto_e5_cruise-9575.php,pending
67,Moto E5 Play,https://www.gsmarena.com/motorola_moto_e5_play-9175.php,pending
68,Moto E5 Play Go,https://www.gsmarena.com/motorola_moto_e5_play_go-9270.php,pending
69,Moto E5 Plus,https://www.gsmarena.com/motorola_moto_e5_plus-9095.php,pending
70,Moto E6,https://www.gsmarena.com/motorola_moto_e6-9682.php,pending
71,Moto E6 Play,https://www.gsmarena.com/motorola_moto_e6_play-9932.php,pending
72,Moto E6 Plus,https://www.gsmarena.com/motorola_moto_e6_plus-9831.php,pending
73,Moto E6i,https://www.gsmarena.com/motorola_moto_e6i-10734.php,pending
74,Moto E6s (2020),https://www.gsmarena.com/motorola_moto_e6s_(2020)-10135.php,pending
75,Moto E7,https://www.gsmarena.com/motorola_moto_e7-10511.php,pending
76,Moto E7 Plus,https://www.gsmarena.com/motorola_moto_e7_plus-10436.php,pending
77,Moto E7 Power,https://www.gsmarena.com/motorola_moto_e7_power-10738.php,pending
78,Moto E7i Power,https://www.gsmarena.com/motorola_moto_e7i_power-11000.php,pending
79,Moto E (2020),https://www.gsmarena.com/motorola_moto_e_(2020)-10287.php,pending
80,Moto G04,https://www.gsmarena.com/motorola_moto_g04-12803.php,pending
81,Moto G04s,https://www.gsmarena.com/motorola_moto_g04s-12921.php,pending
82,Moto G05,https://www.gsmarena.com/motorola_moto_g05-13573.php,pending
83,Moto G06,https://www.gsmarena.com/motorola_moto_g06-14115.php,pending
84,Moto G06 Power,https://www.gsmarena.com/motorola_moto_g06_power-14125.php,pending
85,Moto G10,https://www.gsmarena.com/motorola_moto_g10-10723.php,pending
86,Moto G100 (2021),https://www.gsmarena.com/motorola_moto_g100-10791.php,pending
87,Moto G100,https://www.gsmarena.com/motorola_moto_g100_5g_(china)-14228.php,pending
88,Moto G100S,https://www.gsmarena.com/motorola_moto_g100s_5g_(china)-14293.php,pending
89,Moto G10 Power,https://www.gsmarena.com/motorola_moto_g10_power-10778.php,pending
90,Moto G13,https://www.gsmarena.com/motorola_moto_g13-12091.php,pending
91,Moto G14,https://www.gsmarena.com/motorola_moto_g14-12447.php,pending
92,Moto G15,https://www.gsmarena.com/motorola_moto_g15-13507.php,pending
93,Moto G15 Power,https://www.gsmarena.com/motorola_moto_g15_power-13572.php,pending
94,Moto G20,https://www.gsmarena.com/motorola_moto_g20-10828.php,pending
95,Moto G200 5G,https://www.gsmarena.com/motorola_moto_g200_5g-11222.php,pending
96,Moto G22,https://www.gsmarena.com/motorola_moto_g22-11365.php,pending
97,Moto G23,https://www.gsmarena.com/motorola_moto_g23-12088.php,pending
98,Moto G24,https://www.gsmarena.com/motorola_moto_g24-12802.php,pending
99,Moto G24 Power,https://www.gsmarena.com/motorola_moto_g24_power-12813.php,pending
100,Moto G30,https://www.gsmarena.com/motorola_moto_g30-10724.php,pending
101,Moto G31,https://www.gsmarena.com/motorola_moto_g31-11225.php,pending
102,Moto G32,https://www.gsmarena.com/motorola_moto_g32-11733.php,pending
103,Moto G34,https://www.gsmarena.com/motorola_moto_g34-12759.php,pending
104,Moto G35,https://www.gsmarena.com/motorola_moto_g35-13288.php,pending
105,Moto G4,https://www.gsmarena.com/motorola_moto_g4-8103.php,pending
106,Moto G40 Fusion,https://www.gsmarena.com/motorola_moto_g40_fusion-10862.php,pending
107,Moto G41,https://www.gsmarena.com/motorola_moto_g41-11224.php,pending
108,Moto G42,https://www.gsmarena.com/motorola_moto_g42-11608.php,pending
109,Moto G45,https://www.gsmarena.com/motorola_moto_g45-13267.php,pending
110,Moto G4 Play,https://www.gsmarena.com/motorola_moto_g4_play-8104.php,pending
111,Moto G4 Plus,https://www.gsmarena.com/motorola_moto_g4_plus-8050.php,pending
112,Moto G5,https://www.gsmarena.com/motorola_moto_g5-8454.php,pending
113,Moto G50,https://www.gsmarena.com/motorola_moto_g50-10789.php,pending
114,Moto G50 5G,https://www.gsmarena.com/motorola_moto_g50_5g-11070.php,pending
115,Moto G51 5G,https://www.gsmarena.com/motorola_moto_g51_5g-11194.php,pending
116,Moto G52,https://www.gsmarena.com/motorola_moto_g52-11457.php,pending
