ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
3,"Galaxy A02",https://www.gsmarena.com/samsung_galaxy_a02-10708.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:47:29
4,"Galaxy A02s",https://www.gsmarena.com/samsung_galaxy_a02s-10603.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:48:30
5,"Galaxy A03",https://www.gsmarena.com/samsung_galaxy_a03-11244.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:49:31
6,"Galaxy A03 Core",https://www.gsmarena.com/samsung_galaxy_a03_core-11215.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:50:32
7,"Galaxy A03s",https://www.gsmarena.com/samsung_galaxy_a03s-10937.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:51:34
8,"Galaxy A04",https://www.gsmarena.com/samsung_galaxy_a04-11817.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:52:35
9,"Galaxy A04e",https://www.gsmarena.com/samsung_galaxy_a04e-11945.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:53:36
10,"Galaxy A04s",https://www.gsmarena.com/samsung_galaxy_a04s-11803.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-14 23:54:37
11,"Galaxy A05",https://www.gsmarena.com/samsung_galaxy_a05-12583.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-14 23:55:38
12,"Galaxy A05s",https://www.gsmarena.com/samsung_galaxy_a05s-12584.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-14 23:56:40
13,"Galaxy A06",https://www.gsmarena.com/samsung_galaxy_a06-13265.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-14 23:57:41
14,"Galaxy A06 5G",https://www.gsmarena.com/samsung_galaxy_a06_5g-13662.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-14 23:58:42
15,"Galaxy A07 4G",https://www.gsmarena.com/samsung_galaxy_a07-14066.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-14 23:59:43
16,"Galaxy A10",https://www.gsmarena.com/samsung_galaxy_a10-9580.php,19:9,95.95,720x1520,6.2",N/A,SUCCESS,2025-12-15 00:00:44
17,"Galaxy A10e",https://www.gsmarena.com/samsung_galaxy_a10e-9790.php,19.5:9,83.43,720x1560,5.83",N/A,SUCCESS,2025-12-15 00:01:45
18,"Galaxy A10s",https://www.gsmarena.com/samsung_galaxy_a10s-9793.php,19:9,95.95,720x1520,6.2",N/A,SUCCESS,2025-12-15 00:02:46
19,"Galaxy A11",https://www.gsmarena.com/samsung_galaxy_a11-10132.php,19.5:9,100.55,720x1560,6.4",N/A,SUCCESS,2025-12-15 00:03:48
20,"Galaxy A12",https://www.gsmarena.com/samsung_galaxy_a12-10604.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-15 00:04:49
21,"Galaxy A12 (India)",https://www.gsmarena.com/samsung_galaxy_a12_(india)-11087.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-15 00:05:50
22,"Galaxy A12 Nacho",https://www.gsmarena.com/samsung_galaxy_a12_nacho-11041.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-15 00:06:51
23,"Galaxy A13",https://www.gsmarena.com/samsung_galaxy_a13-11402.php,20:9,105.17,1080x2408,6.6",N/A,SUCCESS,2025-12-15 00:07:52
24,"Galaxy A13 (SM-A137)",https://www.gsmarena.com/samsung_galaxy_a13_(sm_a137)-11665.php,20:9,105.17,1080x2408,6.6",N/A,SUCCESS,2025-12-15 00:08:53
25,"Galaxy A13 5G",https://www.gsmarena.com/samsung_galaxy_a13_5g-11149.php,20:9,102.01,720x1600,6.5",N/A,SUCCESS,2025-12-15 00:09:55
26,"Galaxy A14",https://www.gsmarena.com/samsung_galaxy_a14-12151.php,20:9,105.17,1080x2408,6.6",N/A,SUCCESS,2025-12-15 00:10:56
27,"Galaxy A14 5G",https://www.gsmarena.com/samsung_galaxy_a14_5g-12004.php,20:9,105.17,1080x2408,6.6",N/A,SUCCESS,2025-12-15 00:11:57
28,"Galaxy A15",https://www.gsmarena.com/samsung_galaxy_a15-12637.php,19.5:9,103.71,1080x2340,6.5",N/A,SUCCESS,2025-12-15 00:12:58
