ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
1,"GT 10 Pro",https://www.gsmarena.com/infinix_gt_10_pro-12451.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-16 18:46:11
2,"GT 20 Pro",https://www.gsmarena.com/infinix_gt_20_pro-12962.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 18:47:12
3,"GT 30",https://www.gsmarena.com/infinix_gt_30_5g-14044.php,20:9,110.98,1224x2720,6.78",N/A,SUCCESS,2025-12-16 18:48:14
4,"GT 30 Pro",https://www.gsmarena.com/infinix_gt_30_pro_5g-13889.php,20:9,110.98,1224x2720,6.78",N/A,SUCCESS,2025-12-16 18:49:15
5,"Hot 10",https://www.gsmarena.com/infinix_hot_10-10452.php,N/A,N/A,720x1640,6.78",N/A,FAILED,2025-12-16 18:50:16
6,"Hot 10 Lite",https://www.gsmarena.com/infinix_hot_10_lite-10516.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 18:51:17
7,"Hot 10 Play",https://www.gsmarena.com/infinix_hot_10_play-10699.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 18:52:18
8,"Hot 10i",https://www.gsmarena.com/infinix_hot_10i-11031.php,20:9,102.63,720x1600,6.52",N/A,SUCCESS,2025-12-16 18:53:20
9,"Hot 10s",https://www.gsmarena.com/infinix_hot_10s-10868.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 18:54:21
10,"Hot 10s NFC",https://www.gsmarena.com/infinix_hot_10s_nfc-10869.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 18:55:22
11,"Hot 10T",https://www.gsmarena.com/infinix_hot_10t-10891.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 18:56:23
12,"Hot 11",https://www.gsmarena.com/infinix_hot_11-11161.php,20:9,105.17,1080x2408,6.6",N/A,SUCCESS,2025-12-16 18:57:24
13,"Hot 11 2022",https://www.gsmarena.com/infinix_hot_11_2022-11478.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 18:58:25
14,"Hot 11 Play",https://www.gsmarena.com/infinix_hot_11_play-11216.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 18:59:27
15,"Hot 11s",https://www.gsmarena.com/infinix_hot_11s-11162.php,N/A,N/A,1080x2480,6.78",N/A,FAILED,2025-12-16 19:00:28
16,"Hot 11s NFC",https://www.gsmarena.com/infinix_hot_11s_nfc-11605.php,N/A,N/A,1080x2460,6.78",N/A,FAILED,2025-12-16 19:01:29
17,"Hot 12",https://www.gsmarena.com/infinix_hot_12-11498.php,20:9,112.30,720x1612,6.82",N/A,SUCCESS,2025-12-16 19:02:30
18,"Hot 12 Play",https://www.gsmarena.com/infinix_hot_12_play-11547.php,20:9,112.30,720x1612,6.82",N/A,SUCCESS,2025-12-16 19:03:31
19,"Hot 12 Play NFC",https://www.gsmarena.com/infinix_hot_12_play_nfc-11876.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 19:04:32
20,"Hot 12 Pro",https://www.gsmarena.com/infinix_hot_12_pro-11822.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 19:05:34
21,"Hot 12i",https://www.gsmarena.com/infinix_hot_12i-11473.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 19:06:35
22,"Hot 20",https://www.gsmarena.com/infinix_hot_20-11929.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 19:07:36
23,"Hot 20 5G",https://www.gsmarena.com/infinix_hot_20_5g-11923.php,20:9,104.53,1080x2408,6.58",N/A,SUCCESS,2025-12-16 19:08:37
24,"Hot 20 Play",https://www.gsmarena.com/infinix_hot_20_play-11931.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 19:09:38
