ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
1,"iPhone",https://www.gsmarena.com/apple_iphone-1827.php,3:2,36.48,320x480,3.5",N/A,SUCCESS,2025-12-16 21:31:58
2,"iPhone 11",https://www.gsmarena.com/apple_iphone_11-9848.php,19.5:9,91.34,828x1792,6.1",N/A,SUCCESS,2025-12-16 21:32:59
3,"iPhone 11 Pro",https://www.gsmarena.com/apple_iphone_11_pro-9847.php,19.5:9,82.58,1125x2436,5.8",N/A,SUCCESS,2025-12-16 21:34:00
4,"iPhone 11 Pro Max",https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php,19.5:9,103.71,1242x2688,6.5",N/A,SUCCESS,2025-12-16 21:35:01
5,"iPhone 12",https://www.gsmarena.com/apple_iphone_12-10509.php,19.5:9,91.34,1170x2532,6.1",N/A,SUCCESS,2025-12-16 21:36:02
6,"iPhone 12 mini",https://www.gsmarena.com/apple_iphone_12_mini-10510.php,19.5:9,71.58,1080x2340,5.4",N/A,SUCCESS,2025-12-16 21:37:04
7,"iPhone 12 Pro",https://www.gsmarena.com/apple_iphone_12_pro-10508.php,19.5:9,91.34,1170x2532,6.1",N/A,SUCCESS,2025-12-16 21:38:05
8,"iPhone 12 Pro Max",https://www.gsmarena.com/apple_iphone_12_pro_max-10237.php,19.5:9,110.19,1284x2778,6.7",N/A,SUCCESS,2025-12-16 21:39:06
9,"iPhone 13",https://www.gsmarena.com/apple_iphone_13-11103.php,19.5:9,91.34,1170x2532,6.1",N/A,SUCCESS,2025-12-16 21:40:07
10,"iPhone 13 mini",https://www.gsmarena.com/apple_iphone_13_mini-11104.php,19.5:9,71.58,1080x2340,5.4",N/A,SUCCESS,2025-12-16 21:41:08
11,"iPhone 13 Pro",https://www.gsmarena.com/apple_iphone_13_pro-11102.php,19.5:9,91.34,1170x2532,6.1",N/A,SUCCESS,2025-12-16 21:42:10
12,"iPhone 13 Pro Max",https://www.gsmarena.com/apple_iphone_13_pro_max-11089.php,19.5:9,110.19,1284x2778,6.7",N/A,SUCCESS,2025-12-16 21:43:11
13,"iPhone 14",https://www.gsmarena.com/apple_iphone_14-11861.php,19.5:9,91.34,1170x2532,6.1",N/A,SUCCESS,2025-12-16 21:44:13
14,"iPhone 14 Plus",https://www.gsmarena.com/apple_iphone_14_plus-11862.php,19.5:9,110.19,1284x2778,6.7",N/A,SUCCESS,2025-12-16 21:45:14
