ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
1,"11 Lite 5G NE",https://www.gsmarena.com/xiaomi_11_lite_5g_ne-11101.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 18:10:00
2,"11i",https://www.gsmarena.com/xiaomi_11i-11185.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:11:01
3,"11i HyperCharge 5G",https://www.gsmarena.com/xiaomi_11i_hypercharge_5g-11186.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:12:02
4,"11T",https://www.gsmarena.com/xiaomi_11t-11099.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:13:03
5,"11T Pro",https://www.gsmarena.com/xiaomi_11t_pro-11100.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:14:05
6,"12",https://www.gsmarena.com/xiaomi_12-11285.php,20:9,95.22,1080x2400,6.28",N/A,SUCCESS,2025-12-15 18:15:06
7,"12 Lite",https://www.gsmarena.com/xiaomi_12_lite-11472.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 18:16:07
8,"12 Lite NE",https://www.gsmarena.com/xiaomi_12_lite_ne-11947.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 18:17:08
9,"12 Pro",https://www.gsmarena.com/xiaomi_12_pro-11287.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:18:09
10,"12 Pro (Dimensity)",https://www.gsmarena.com/xiaomi_12_pro_(dimensity)-11652.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:19:10
11,"12S",https://www.gsmarena.com/xiaomi_12s-11645.php,20:9,95.22,1080x2400,6.28",N/A,SUCCESS,2025-12-15 18:20:12
12,"12S Pro",https://www.gsmarena.com/xiaomi_12s_pro-11651.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:21:13
13,"12S Ultra",https://www.gsmarena.com/xiaomi_12s_ultra-11614.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:22:14
14,"12T",https://www.gsmarena.com/xiaomi_12t-11888.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 18:23:15
15,"12T Pro",https://www.gsmarena.com/xiaomi_12t_pro-11887.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 18:24:16
16,"12X",https://www.gsmarena.com/xiaomi_12x-11292.php,20:9,95.22,1080x2400,6.28",N/A,SUCCESS,2025-12-15 18:25:18
17,"13",https://www.gsmarena.com/xiaomi_13-12013.php,20:9,97.66,1080x2400,6.36",N/A,SUCCESS,2025-12-15 18:26:19
18,"13 Lite",https://www.gsmarena.com/xiaomi_13_lite-12072.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 18:27:20
19,"13 Pro",https://www.gsmarena.com/xiaomi_13_pro-11962.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:28:21
20,"13 Ultra",https://www.gsmarena.com/xiaomi_13_ultra-12236.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:29:22
21,"13T",https://www.gsmarena.com/xiaomi_13t-12389.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 18:30:24
22,"13T Pro",https://www.gsmarena.com/xiaomi_13t_pro-12388.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 18:31:25
23,"14",https://www.gsmarena.com/xiaomi_14-12626.php,20:9,97.66,1200x2670,6.36",N/A,SUCCESS,2025-12-15 18:32:26
24,"14 Civi",https://www.gsmarena.com/xiaomi_14_civi-13056.php,20:9,103.58,1236x2750,6.55",N/A,SUCCESS,2025-12-15 18:33:27
25,"14 Pro",https://www.gsmarena.com/xiaomi_14_pro-12643.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:34:28
26,"14 Ultra",https://www.gsmarena.com/xiaomi_14_ultra-12827.php,20:9,109.35,1440x3200,6.73",N/A,SUCCESS,2025-12-15 18:35:29
27,"14T",https://www.gsmarena.com/xiaomi_14t-13329.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 18:36:31
28,"14T Pro",https://www.gsmarena.com/xiaomi_14t_pro-13328.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 18:37:32
