id,model,url,status
1,16,https://www.gsmarena.com/realme_16_5g-14419.php,pending
2,P4 Power,https://www.gsmarena.com/realme_p4_power_5g-14451.php,pending
3,Neo8,https://www.gsmarena.com/realme_neo8_5g-14408.php,pending
4,C85 4G,https://www.gsmarena.com/realme_c85-14435.php,pending
5,16 Pro+,https://www.gsmarena.com/realme_16_pro+_5g-14363.php,pending
6,16 Pro,https://www.gsmarena.com/realme_16_pro_5g-14400.php,pending
7,Narzo 90,https://www.gsmarena.com/realme_narzo_90_5g-14345.php,pending
8,Narzo 90X,https://www.gsmarena.com/realme_narzo_90x_5g-14346.php,pending
9,P3 Lite,https://www.gsmarena.com/realme_p3_lite_5g-14360.php,pending
10,P3 Lite 4G,https://www.gsmarena.com/realme_p3_lite-14361.php,pending
11,P4x,https://www.gsmarena.com/realme_p4x_5g-14329.php,pending
12,C85 Pro,https://www.gsmarena.com/realme_c85_pro-14275.php,pending
13,C85,https://www.gsmarena.com/realme_c85_5g-14274.php,pending
14,GT 8 Pro,https://www.gsmarena.com/realme_gt8_pro_5g_(china)-14245.php,pending
15,GT8 (China),https://www.gsmarena.com/realme_gt8_5g_(china)-14246.php,pending
16,15x (India),https://www.gsmarena.com/realme_15x_5g_(india)-14173.php,pending
17,15 Lite,https://www.gsmarena.com/realme_15_lite_5g-14159.php,pending
18,15,https://www.gsmarena.com/realme_15_5g_(global)-14318.php,pending
19,15T,https://www.gsmarena.com/realme_15t_5g-14105.php,pending
20,P4,https://www.gsmarena.com/realme_p4_5g-14087.php,pending
21,P4 Pro,https://www.gsmarena.com/realme_p4_pro_5g-14086.php,pending
22,Narzo 80 Lite,https://www.gsmarena.com/realme_narzo_80_lite-14023.php,pending
23,15 Pro,https://www.gsmarena.com/realme_15_pro_5g-14017.php,pending
24,Note 70,https://www.gsmarena.com/realme_note_70-14436.php,pending
25,15 (India),https://www.gsmarena.com/realme_15_5g-14018.php,pending
26,Note 70T,https://www.gsmarena.com/realme_note_70t-14007.php,pending
27,Narzo 80 Lite 5G,https://www.gsmarena.com/realme_narzo_80_lite_5g-13952.php,pending
28,C73,https://www.gsmarena.com/realme_c73_5g-13928.php,pending
29,C71,https://www.gsmarena.com/realme_c71-13931.php,pending
30,Neo7 Turbo,https://www.gsmarena.com/realme_neo7_turbo_5g-13916.php,pending
31,GT 7T,https://www.gsmarena.com/realme_gt_7t_5g-13869.php,pending
32,GT 7,https://www.gsmarena.com/realme_gt_7_5g-13863.php,pending
33,C75,https://www.gsmarena.com/realme_c75_5g-13837.php,pending
34,14T,https://www.gsmarena.com/realme_14t-13748.php,pending
35,GT7 (China),https://www.gsmarena.com/realme_gt7_5g-13788.php,pending
36,Narzo 80 Pro,https://www.gsmarena.com/realme_narzo_80_pro_5g-13782.php,pending
37,Narzo 80x,https://www.gsmarena.com/realme_narzo_80x_5g-13771.php,pending
38,14,https://www.gsmarena.com/realme_14-13729.php,pending
39,C75x,https://www.gsmarena.com/realme_c75x-13750.php,pending
40,P3 Ultra,https://www.gsmarena.com/realme_p3_ultra-13734.php,pending
41,P3,https://www.gsmarena.com/realme_p3-13715.php,pending
42,14 Pro Lite,https://www.gsmarena.com/realme_14_pro_lite-13706.php,pending
43,Neo7 SE,https://www.gsmarena.com/realme_neo7_se-13676.php,pending
44,Neo7x,https://www.gsmarena.com/realme_neo7x-13677.php,pending
45,P3 Pro,https://www.gsmarena.com/realme_p3_pro-13667.php,pending
46,P3x,https://www.gsmarena.com/realme_p3x-13665.php,pending
47,GT7 Pro Racing,https://www.gsmarena.com/realme_gt7_pro_racing-13664.php,pending
48,14x,https://www.gsmarena.com/realme_14x-13646.php,pending
49,14 Pro,https://www.gsmarena.com/realme_14_pro-13586.php,pending
50,14 Pro+,https://www.gsmarena.com/realme_14_pro+-13585.php,pending
51,14x (India),https://www.gsmarena.com/realme_14x_(india)-13555.php,pending
52,Neo7,https://www.gsmarena.com/realme_neo7-13540.php,pending
53,Note 60x,https://www.gsmarena.com/realme_note_60x-13558.php,pending
54,V60 pro,https://www.gsmarena.com/realme_v60_pro-13529.php,pending
55,C75 4G,https://www.gsmarena.com/realme_c75-13522.php,pending
56,GT 7 Pro,https://www.gsmarena.com/realme_gt_7_pro-13470.php,pending
57,P1 Speed,https://www.gsmarena.com/realme_p1_speed-13414.php,pending
58,P2 Pro,https://www.gsmarena.com/realme_p2_pro-13332.php,pending
59,Narzo 70 Turbo,https://www.gsmarena.com/realme_narzo_70_turbo-13294.php,pending
60,Note 60,https://www.gsmarena.com/realme_note_60-13283.php,pending
61,13+,https://www.gsmarena.com/realme_13+-13255.php,pending
62,13,https://www.gsmarena.com/realme_13-13289.php,pending
63,C63 5G,https://www.gsmarena.com/realme_c63_5g-13260.php,pending
64,13 4G,https://www.gsmarena.com/realme_13_4g-13252.php,pending
65,13 Pro+,https://www.gsmarena.com/realme_13_pro+-13196.php,pending
66,13 Pro,https://www.gsmarena.com/realme_13_pro-13240.php,pending
67,Narzo N61,https://www.gsmarena.com/realme_narzo_n61-13232.php,pending
68,C61,https://www.gsmarena.com/realme_c61-13236.php,pending
69,GT6 (China),https://www.gsmarena.com/realme_gt6_(china)-13104.php,pending
70,C61 (India),https://www.gsmarena.com/realme_c61_(india)-13162.php,pending
71,12 4G,https://www.gsmarena.com/realme_12_4g-13172.php,pending
72,V60,https://www.gsmarena.com/realme_v60-13165.php,pending
73,GT 6,https://www.gsmarena.com/realme_gt_6-13103.php,pending
74,Narzo N63,https://www.gsmarena.com/realme_narzo_n63-13120.php,pending
75,C63,https://www.gsmarena.com/realme_c63-13090.php,pending
76,Narzo N65,https://www.gsmarena.com/realme_narzo_n65-13047.php,pending
77,GT 6T,https://www.gsmarena.com/realme_gt_6t-13010.php,pending
78,GT Neo6,https://www.gsmarena.com/realme_gt_neo6-12991.php,pending
79,C65 5G,https://www.gsmarena.com/realme_c65_5g-12963.php,pending
80,Narzo 70,https://www.gsmarena.com/realme_narzo_70-12955.php,pending
81,Narzo 70x,https://www.gsmarena.com/realme_narzo_70x-12954.php,pending
82,12 Lite,https://www.gsmarena.com/realme_12_lite-12947.php,pending
83,P1 Pro,https://www.gsmarena.com/realme_p1_pro-12935.php,pending
84,P1,https://www.gsmarena.com/realme_p1-12936.php,pending
85,GT Neo6 SE,https://www.gsmarena.com/realme_gt_neo6_se-12898.php,pending
86,12x (India),https://www.gsmarena.com/realme_12x_(india)-12914.php,pending
87,C65,https://www.gsmarena.com/realme_c65-12908.php,pending
88,12x,https://www.gsmarena.com/realme_12x-12890.php,pending
89,Narzo 70 Pro,https://www.gsmarena.com/realme_narzo_70_pro-12878.php,pending
90,C51s,https://www.gsmarena.com/realme_c51s-13130.php,pending
91,12,https://www.gsmarena.com/realme_12-12861.php,pending
92,12+,https://www.gsmarena.com/realme_12+-12821.php,pending
93,12 Pro+,https://www.gsmarena.com/realme_12_pro+-12804.php,pending
94,12 Pro,https://www.gsmarena.com/realme_12_pro-12810.php,pending
95,Note 50,https://www.gsmarena.com/realme_note_50-12799.php,pending
96,C67 4G,https://www.gsmarena.com/realme_c67_4g-12741.php,pending
97,C67,https://www.gsmarena.com/realme_c67-12728.php,pending
98,V50s,https://www.gsmarena.com/realme_v50s-12703.php,pending
99,GT5 Pro,https://www.gsmarena.com/realme_gt5_pro-12646.php,pending
100,Narzo 60x,https://www.gsmarena.com/realme_narzo_60x-12542.php,pending
101,GT5 240W,https://www.gsmarena.com/realme_gt5_240w-12529.php,pending
102,GT5,https://www.gsmarena.com/realme_gt5-12528.php,pending
103,11x,https://www.gsmarena.com/realme_11x-12519.php,pending
104,11 4G,https://www.gsmarena.com/realme_11_4g-12445.php,pending
105,11,https://www.gsmarena.com/realme_11-12444.php,pending
106,C51,https://www.gsmarena.com/realme_c51-12527.php,pending
107,C53 (India),https://www.gsmarena.com/realme_c53_(india)-12419.php,pending
108,GT3,https://www.gsmarena.com/realme_gt3-12120.php,pending
109,Narzo 60 Pro,https://www.gsmarena.com/realme_narzo_60_pro-12396.php,pending
110,Narzo 60,https://www.gsmarena.com/realme_narzo_60-12395.php,pending
111,C53,https://www.gsmarena.com/realme_c53-12310.php,pending
112,Narzo N53,https://www.gsmarena.com/realme_narzo_n53-12280.php,pending
113,11 Pro+,https://www.gsmarena.com/realme_11_pro+-12246.php,pending
114,11 Pro,https://www.gsmarena.com/realme_11_pro-12261.php,pending
115,11 (China),https://www.gsmarena.com/realme_11_(china)-12262.php,pending
116,Narzo N55,https://www.gsmarena.com/realme_narzo_n55-12227.php,pending
117,GT Neo5 SE,https://www.gsmarena.com/realme_gt_neo5_se-12187.php,pending
118,10T,https://www.gsmarena.com/realme_10t-12174.php,pending
119,C33 2023,https://www.gsmarena.com/realme_c33_2023-12173.php,pending
120,C55,https://www.gsmarena.com/realme_c55-12159.php,pending
121,GT Neo 5 240W,https://www.gsmarena.com/realme_gt_neo_5_240w-12067.php,pending
122,GT Neo 5,https://www.gsmarena.com/realme_gt_neo_5-12066.php,pending
123,V30,https://www.gsmarena.com/realme_v30-12114.php,pending
124,10s,https://www.gsmarena.com/realme_10s-12029.php,pending
125,V20,https://www.gsmarena.com/realme_v20-12025.php,pending
126,10 Pro+,https://www.gsmarena.com/realme_10_pro+-11952.php,pending
127,10 Pro,https://www.gsmarena.com/realme_10_pro-11978.php,pending
128,10 5G,https://www.gsmarena.com/realme_10_5g-11951.php,pending
129,10,https://www.gsmarena.com/realme_10-11950.php,pending
130,C30s,https://www.gsmarena.com/realme_c30s-11878.php,pending
131,C33,https://www.gsmarena.com/realme_c33-11849.php,pending
132,9i 5G,https://www.gsmarena.com/realme_9i_5g-11769.php,pending
133,GT2 Explorer Master,https://www.gsmarena.com/realme_gt2_explorer_master-11613.php,pending
134,Narzo 50i Prime,https://www.gsmarena.com/realme_narzo_50i_prime-11630.php,pending
135,C30,https://www.gsmarena.com/realme_c30-11621.php,pending
136,GT Neo 3T,https://www.gsmarena.com/realme_gt_neo_3t-11609.php,pending
137,Narzo 50 Pro,https://www.gsmarena.com/realme_narzo_50_pro-11532.php,pending
138,Narzo 50 5G,https://www.gsmarena.com/realme_narzo_50_5g-11518.php,pending
139,9 5G,https://www.gsmarena.com/realme_9_5g-11514.php,pending
140,V23i,https://www.gsmarena.com/realme_v23i-12026.php,pending
141,V23,https://www.gsmarena.com/realme_v23-11477.php,pending
142,Q5 Pro,https://www.gsmarena.com/realme_q5_pro-11475.php,pending
143,Q5,https://www.gsmarena.com/realme_q5-11480.php,pending
144,Q5i,https://www.gsmarena.com/realme_q5i-11474.php,pending
145,9,https://www.gsmarena.com/realme_9-11465.php,pending
146,C31,https://www.gsmarena.com/realme_c31-11437.php,pending
147,GT Neo 3 150W,https://www.gsmarena.com/realme_gt_neo_3_150w-11597.php,pending
148,GT Neo 3,https://www.gsmarena.com/realme_gt_neo_3-11436.php,pending
