phone_id,model,url,display_ratio,display_area_cm2,resolution,screen_size,ppi,os,chipset,ram,storage,battery,status_code,error_message
1,Defy (2021),https://www.gsmarena.com/motorola_defy_(2021)-10969.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
2,Defy 2,https://www.gsmarena.com/motorola_defy_2-12141.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
3,Droid Maxx 2,https://www.gsmarena.com/motorola_droid_maxx_2-7712.php,16:9,83.39,1080x1920,"5.5""",,,,,,,200,
4,Droid Turbo 2,https://www.gsmarena.com/motorola_droid_turbo_2-7713.php,16:9,80.39,1440x2560,"5.4""",,,,,,,200,
5,Edge+ (2020),https://www.gsmarena.com/motorola_edge+_(2020)-10119.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
6,Edge+ (2023),https://www.gsmarena.com/motorola_edge+_(2023)-12251.php,20:9,107.41,1080x2400,"6.67""",,,,,,,200,
7,Edge+ 5G UW (2022),https://www.gsmarena.com/motorola_edge+_5g_uw_(2022)-11755.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
8,Edge,https://www.gsmarena.com/motorola_edge-10133.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
9,Edge (2021),https://www.gsmarena.com/motorola_edge_(2021)-11061.php,,,1080x2460,"6.8""",,,,,,,200,
10,Edge (2022),https://www.gsmarena.com/motorola_edge_(2022)-11777.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
11,Edge (2023),https://www.gsmarena.com/motorola_edge_(2023)-12620.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
12,Edge (2024),https://www.gsmarena.com/motorola_edge_(2024)-13111.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
13,Edge (2025),https://www.gsmarena.com/motorola_edge_(2025)-13907.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
14,Edge 20,https://www.gsmarena.com/motorola_edge_20-11034.php,19.5:9,110.19,1080x2400,"6.7""",,,,,,,200,
15,Edge 20 Fusion,https://www.gsmarena.com/motorola_edge_20_fusion-11056.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
16,Edge 20 Lite,https://www.gsmarena.com/motorola_edge_20_lite-11035.php,19.5:9,110.19,1080x2400,"6.7""",,,,,,,200,
17,Edge 20 Pro,https://www.gsmarena.com/motorola_edge_20_pro-11004.php,19.5:9,110.19,1080x2400,"6.7""",,,,,,,200,
18,Edge 30,https://www.gsmarena.com/motorola_edge_30-11500.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
19,Edge 30 Fusion,https://www.gsmarena.com/motorola_edge_30_fusion-11851.php,20:9,103.58,1080x2400,"6.55""",,,,,,,200,
20,Edge 30 Neo,https://www.gsmarena.com/motorola_edge_30_neo-11635.php,20:9,95.22,1080x2400,"6.28""",,,,,,,200,
21,Edge 30 Pro,https://www.gsmarena.com/motorola_edge_30_pro-11320.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
22,Edge 30 Ultra,https://www.gsmarena.com/motorola_edge_30_ultra-11206.php,20:9,107.41,1080x2400,"6.67""",,,,,,,200,
23,Edge 40,https://www.gsmarena.com/motorola_edge_40-12204.php,20:9,103.58,1080x2400,"6.55""",,,,,,,200,
24,Edge 40 Neo,https://www.gsmarena.com/motorola_edge_40_neo-12467.php,20:9,103.58,1080x2400,"6.55""",,,,,,,200,
25,Edge 40 Pro,https://www.gsmarena.com/motorola_edge_40_pro-12127.php,20:9,107.41,1080x2400,"6.67""",,,,,,,200,
26,Edge 50,https://www.gsmarena.com/motorola_edge_50-13231.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
27,Edge 50 Fusion,https://www.gsmarena.com/motorola_edge_50_fusion-12871.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
28,Edge 50 Neo,https://www.gsmarena.com/motorola_edge_50_neo-13224.php,20:9,98.89,1200x2670,"6.4""",,,,,,,200,
29,Edge 50 Pro,https://www.gsmarena.com/motorola_edge_50_pro-12909.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
30,Edge 50 Ultra,https://www.gsmarena.com/motorola_edge_50_ultra-12919.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
31,Edge 5G UW (2021),https://www.gsmarena.com/motorola_edge_5g_uw_(2021)-11753.php,,,1080x2460,"6.8""",,,,,,,200,
32,Edge 60,https://www.gsmarena.com/motorola_edge_60-13779.php,20:9,107.41,1220x2712,"6.67""",,,,,,,200,
33,Edge 60 Fusion,https://www.gsmarena.com/motorola_edge_60_fusion-13752.php,20:9,107.41,1220x2712,"6.67""",,,,,,,200,
34,Edge 60 Neo,https://www.gsmarena.com/motorola_edge_60_neo_5g-14124.php,20:9,97.66,1200x2670,"6.36""",,,,,,,200,
35,Edge 60 Pro,https://www.gsmarena.com/motorola_edge_60_pro-13815.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
36,Edge 60 Stylus,https://www.gsmarena.com/motorola_edge_60_stylus_5g-13785.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
37,Edge 60s,https://www.gsmarena.com/motorola_edge_60s_5g-13856.php,20:9,107.41,1220x2712,"6.67""",,,,,,,200,
38,Edge 70,https://www.gsmarena.com/motorola_edge_70_5g-14216.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
39,Edge S,https://www.gsmarena.com/motorola_edge_s-10705.php,21:9,104.86,1080x2520,"6.7""",,,,,,,200,
40,Edge S30,https://www.gsmarena.com/motorola_edge_s30-11263.php,,,1080x2460,"6.8""",,,,,,,200,
