phone_id,model,url,body_dimensions,body_weight,body_build,sim,display_type,display_size,resolution,protection,status_code,error_message
1,16,https://www.gsmarena.com/realme_16_5g-14419.php,158.3 x 75.1 x 8.1 mm (6.23 x 2.96 x 0.32 in),183 g (6.46 oz),"Glass front (AGC DT-Star D+), plastic frame, plastic back",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR, 1000 nits (typ), 1400 nits (HBM), 4500 nits (peak)","6.57 inches, 105.0 cm2 (~88.3% screen-to-body ratio)",1080 x 2372 pixels (~397 ppi density),AGC DT-Star D+,200,
2,P4 Power,https://www.gsmarena.com/realme_p4_power_5g-14451.php,162.3 x 76.2 x 9.1 mm (6.39 x 3.00 x 0.36 in),219 g (7.72 oz),"Glass front (Gorilla Glass 7i), plastic frame, plastic back",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, HDR10+, PWM, 600 nits (typ), 1800 nits (HBM), 6500 nits (peak)","6.8 inches, 112.8 cm2 (~91.2% screen-to-body ratio)","1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",Corning Gorilla Glass 7i,200,
3,Neo8,https://www.gsmarena.com/realme_neo8_5g-14408.php,162 x 77.1 x 8.3 mm (6.38 x 3.04 x 0.33 in),215 g (7.58 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, HDR, 1000 nits (typ), 3800 nits (HBM), 6500 nits (peak)","6.78 inches, 112.4 cm2 (~90.0% screen-to-body ratio)","1272 x 2772 pixels, 19.5:9 ratio (~450 ppi density)",,200,
4,C85 4G,https://www.gsmarena.com/realme_c85-14435.php,166.2 x 78 x 8.4 mm (6.54 x 3.07 x 0.33 in),215 g (7.58 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 144Hz, 1200 nits (HBM)","6.8 inches, 113.0 cm2 (~87.2% screen-to-body ratio)","720 x 1570 pixels, 19.5:9 ratio (~254 ppi density)",,200,
5,16 Pro+,https://www.gsmarena.com/realme_16_pro+_5g-14363.php,162.5 x 76.3 x 8.1 mm or 8.5 mm,198 g or 203 g (6.98 oz),"Glass front, aluminum alloy frame, plastic back or silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, HDR10+, 4608Hz PWM, 600 nits (typ), 1800 nits (HBM), 6500 nits (peak)","6.8 inches, 112.8 cm2 (~91.0% screen-to-body ratio)","1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",Corning Gorilla Glass 7i,200,
6,16 Pro,https://www.gsmarena.com/realme_16_pro_5g-14400.php,162.6 x 77.6 x 7.8 mm (6.40 x 3.06 x 0.31 in),192 g (6.77 oz),"Glass front, plastic frame, plastic back or silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, HDR10+, PWM, 1000 nits (typ), 1400 nits (HBM), 6500 nits (peak)","6.78 inches, 112.4 cm2 (~89.1% screen-to-body ratio)","1272 x 2772 pixels, 19.5:9 ratio (~450 ppi density)",AGC DT star D+,200,
7,Narzo 90,https://www.gsmarena.com/realme_narzo_90_5g-14345.php,158.4 x 75.2 x 7.8 mm (6.24 x 2.96 x 0.31 in),181 g (6.38 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 2160Hz PWM, 1000 nits (typ), 1400 nits (HBM), 4000 nits (peak)","6.57 inches, 105.0 cm2 (~88.2% screen-to-body ratio)",1080 x 2372 pixels (~397 ppi density),,200,
8,Narzo 90X,https://www.gsmarena.com/realme_narzo_90x_5g-14346.php,166.1 x 77.9 x 8.3 mm (6.54 x 3.07 x 0.33 in),212 g (7.48 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 144Hz, 1200 nits (HBM)","6.8 inches, 113.0 cm2 (~87.4% screen-to-body ratio)","720 x 1570 pixels, 19.5:9 ratio (~254 ppi density)",,200,
9,P3 Lite,https://www.gsmarena.com/realme_p3_lite_5g-14360.php,165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in),197 g (6.95 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 625 nits","6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
10,P3 Lite 4G,https://www.gsmarena.com/realme_p3_lite-14361.php,165.8 x 75.9 x 7.8 mm (6.53 x 2.99 x 0.31 in),196 g (6.91 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 725 nits (peak)","6.67 inches, 107.2 cm2 (~85.2% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",Mohs level 6,200,
11,P4x,https://www.gsmarena.com/realme_p4x_5g-14329.php,165.9 x 76 x 8.4 mm (6.53 x 2.99 x 0.33 in),208 g (7.34 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"IPS LCD, 144Hz, 800 nits (typ), 1000 nits (HBM)","6.72 inches, 109.0 cm2 (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",Scratch-resistant glass,200,
