id,model,url,status
1,Galaxy A01,https://www.gsmarena.com/samsung_galaxy_a01-9999.php,pending
2,Galaxy A01 Core,https://www.gsmarena.com/samsung_galaxy_a01_core-10314.php,pending
3,Galaxy A02,https://www.gsmarena.com/samsung_galaxy_a02-10708.php,pending
4,Galaxy A02s,https://www.gsmarena.com/samsung_galaxy_a02s-10603.php,pending
5,Galaxy A03,https://www.gsmarena.com/samsung_galaxy_a03-11244.php,pending
6,Galaxy A03 Core,https://www.gsmarena.com/samsung_galaxy_a03_core-11215.php,pending
7,Galaxy A03s,https://www.gsmarena.com/samsung_galaxy_a03s-10937.php,pending
8,Galaxy A04,https://www.gsmarena.com/samsung_galaxy_a04-11817.php,pending
9,Galaxy A04e,https://www.gsmarena.com/samsung_galaxy_a04e-11945.php,pending
10,Galaxy A04s,https://www.gsmarena.com/samsung_galaxy_a04s-11803.php,pending
11,Galaxy A05,https://www.gsmarena.com/samsung_galaxy_a05-12583.php,pending
12,Galaxy A05s,https://www.gsmarena.com/samsung_galaxy_a05s-12584.php,pending
13,Galaxy A06,https://www.gsmarena.com/samsung_galaxy_a06-13265.php,pending
14,Galaxy A06 5G,https://www.gsmarena.com/samsung_galaxy_a06_5g-13662.php,pending
15,Galaxy A07 4G,https://www.gsmarena.com/samsung_galaxy_a07-14066.php,pending
16,Galaxy A10,https://www.gsmarena.com/samsung_galaxy_a10-9580.php,pending
17,Galaxy A10e,https://www.gsmarena.com/samsung_galaxy_a10e-9790.php,pending
18,Galaxy A10s,https://www.gsmarena.com/samsung_galaxy_a10s-9793.php,pending
19,Galaxy A11,https://www.gsmarena.com/samsung_galaxy_a11-10132.php,pending
20,Galaxy A12,https://www.gsmarena.com/samsung_galaxy_a12-10604.php,pending
21,Galaxy A12 (India),https://www.gsmarena.com/samsung_galaxy_a12_(india)-11087.php,pending
22,Galaxy A12 Nacho,https://www.gsmarena.com/samsung_galaxy_a12_nacho-11041.php,pending
23,Galaxy A13,https://www.gsmarena.com/samsung_galaxy_a13-11402.php,pending
24,Galaxy A13 (SM-A137),https://www.gsmarena.com/samsung_galaxy_a13_(sm_a137)-11665.php,pending
25,Galaxy A13 5G,https://www.gsmarena.com/samsung_galaxy_a13_5g-11149.php,pending
26,Galaxy A14,https://www.gsmarena.com/samsung_galaxy_a14-12151.php,pending
27,Galaxy A14 5G,https://www.gsmarena.com/samsung_galaxy_a14_5g-12004.php,pending
28,Galaxy A15,https://www.gsmarena.com/samsung_galaxy_a15-12637.php,pending
29,Galaxy A15 5G,https://www.gsmarena.com/samsung_galaxy_a15_5g-12638.php,pending
30,Galaxy A16,https://www.gsmarena.com/samsung_galaxy_a16-13383.php,pending
31,Galaxy A16 5G,https://www.gsmarena.com/samsung_galaxy_a16_5g-13346.php,pending
32,Galaxy A17 4G,https://www.gsmarena.com/samsung_galaxy_a17-14157.php,pending
33,Galaxy A17,https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php,pending
34,Galaxy A20,https://www.gsmarena.com/samsung_galaxy_a20-9640.php,pending
35,Galaxy A20e,https://www.gsmarena.com/samsung_galaxy_a20e-9661.php,pending
36,Galaxy A20s,https://www.gsmarena.com/samsung_galaxy_a20s-9852.php,pending
37,Galaxy A21,https://www.gsmarena.com/samsung_galaxy_a21-10172.php,pending
38,Galaxy A21s,https://www.gsmarena.com/samsung_galaxy_a21s-10239.php,pending
39,Galaxy A22,https://www.gsmarena.com/samsung_galaxy_a22-10948.php,pending
40,Galaxy A22 5G,https://www.gsmarena.com/samsung_galaxy_a22_5g-10873.php,pending
41,Galaxy A23,https://www.gsmarena.com/samsung_galaxy_a23-11373.php,pending
42,Galaxy A23 5G,https://www.gsmarena.com/samsung_galaxy_a23_5g-11736.php,pending
43,Galaxy A24 4G,https://www.gsmarena.com/samsung_galaxy_a24_4g-12176.php,pending
44,Galaxy A25,https://www.gsmarena.com/samsung_galaxy_a25-12555.php,pending
