id,model,url,status
1,11 Lite 5G NE,https://www.gsmarena.com/xiaomi_11_lite_5g_ne-11101.php,pending
2,11i,https://www.gsmarena.com/xiaomi_11i-11185.php,pending
3,11i HyperCharge 5G,https://www.gsmarena.com/xiaomi_11i_hypercharge_5g-11186.php,pending
4,11T,https://www.gsmarena.com/xiaomi_11t-11099.php,pending
5,11T Pro,https://www.gsmarena.com/xiaomi_11t_pro-11100.php,pending
6,12,https://www.gsmarena.com/xiaomi_12-11285.php,pending
7,12 Lite,https://www.gsmarena.com/xiaomi_12_lite-11472.php,pending
8,12 Lite NE,https://www.gsmarena.com/xiaomi_12_lite_ne-11947.php,pending
9,12 Pro,https://www.gsmarena.com/xiaomi_12_pro-11287.php,pending
10,12 Pro (Dimensity),https://www.gsmarena.com/xiaomi_12_pro_(dimensity)-11652.php,pending
11,12S,https://www.gsmarena.com/xiaomi_12s-11645.php,pending
12,12S Pro,https://www.gsmarena.com/xiaomi_12s_pro-11651.php,pending
13,12S Ultra,https://www.gsmarena.com/xiaomi_12s_ultra-11614.php,pending
14,12T,https://www.gsmarena.com/xiaomi_12t-11888.php,pending
15,12T Pro,https://www.gsmarena.com/xiaomi_12t_pro-11887.php,pending
16,12X,https://www.gsmarena.com/xiaomi_12x-11292.php,pending
17,13,https://www.gsmarena.com/xiaomi_13-12013.php,pending
18,13 Lite,https://www.gsmarena.com/xiaomi_13_lite-12072.php,pending
19,13 Pro,https://www.gsmarena.com/xiaomi_13_pro-11962.php,pending
20,13 Ultra,https://www.gsmarena.com/xiaomi_13_ultra-12236.php,pending
21,13T,https://www.gsmarena.com/xiaomi_13t-12389.php,pending
22,13T Pro,https://www.gsmarena.com/xiaomi_13t_pro-12388.php,pending
23,14,https://www.gsmarena.com/xiaomi_14-12626.php,pending
24,14 Civi,https://www.gsmarena.com/xiaomi_14_civi-13056.php,pending
25,14 Pro,https://www.gsmarena.com/xiaomi_14_pro-12643.php,pending
26,14 Ultra,https://www.gsmarena.com/xiaomi_14_ultra-12827.php,pending
27,14T,https://www.gsmarena.com/xiaomi_14t-13329.php,pending
28,14T Pro,https://www.gsmarena.com/xiaomi_14t_pro-13328.php,pending
29,15,https://www.gsmarena.com/xiaomi_15-13472.php,pending
30,15 Pro,https://www.gsmarena.com/xiaomi_15_pro-13473.php,pending
31,15 Ultra,https://www.gsmarena.com/xiaomi_15_ultra-13657.php,pending
32,15S Pro,https://www.gsmarena.com/xiaomi_15s_pro_5g-13895.php,pending
33,15T,https://www.gsmarena.com/xiaomi_15t_5g-14177.php,pending
34,15T Pro,https://www.gsmarena.com/xiaomi_15t_pro_5g-14178.php,pending
35,17,https://www.gsmarena.com/xiaomi_17_5g-14134.php,pending
36,17 Pro,https://www.gsmarena.com/xiaomi_17_pro_5g-14182.php,pending
37,17 Pro Max,https://www.gsmarena.com/xiaomi_17_pro_max_5g-14181.php,pending
38,Black Shark,https://www.gsmarena.com/xiaomi_black_shark-9164.php,pending
39,Black Shark 2,https://www.gsmarena.com/xiaomi_black_shark_2-9639.php,pending
40,Black Shark 2 Pro,https://www.gsmarena.com/xiaomi_black_shark_2_pro-9779.php,pending
41,Black Shark 3,https://www.gsmarena.com/xiaomi_black_shark_3-10110.php,pending
42,Black Shark 3 Pro,https://www.gsmarena.com/xiaomi_black_shark_3_pro-10109.php,pending
43,Black Shark 3S,https://www.gsmarena.com/xiaomi_black_shark_3s-10350.php,pending
44,Black Shark 4,https://www.gsmarena.com/xiaomi_black_shark_4-10714.php,pending
45,Black Shark 4 Pro,https://www.gsmarena.com/xiaomi_black_shark_4_pro-10805.php,pending
46,Black Shark 4S,https://www.gsmarena.com/xiaomi_black_shark_4s-11153.php,pending
47,Black Shark 4S Pro,https://www.gsmarena.com/xiaomi_black_shark_4s_pro-11152.php,pending
48,Black Shark 5,https://www.gsmarena.com/xiaomi_black_shark_5-11454.php,pending
49,Black Shark 5 Pro,https://www.gsmarena.com/xiaomi_black_shark_5_pro-11453.php,pending
50,Black Shark 5 RS,https://www.gsmarena.com/xiaomi_black_shark_5_rs-11455.php,pending
51,Black Shark GS3 Ultra,https://www.gsmarena.com/xiaomi_black_shark_gs3_ultra-14309.php,pending
52,Black Shark Helo,https://www.gsmarena.com/xiaomi_black_shark_helo-9382.php,pending
53,Civi,https://www.gsmarena.com/xiaomi_civi-11119.php,pending
54,Civi 1S,https://www.gsmarena.com/xiaomi_civi_1s-11487.php,pending
55,Civi 2,https://www.gsmarena.com/xiaomi_civi_2-11906.php,pending
56,Civi 3,https://www.gsmarena.com/xiaomi_civi_3-12134.php,pending
57,Civi 4 Pro,https://www.gsmarena.com/xiaomi_civi_4_pro-12888.php,pending
58,Civi 5 Pro,https://www.gsmarena.com/xiaomi_civi_5_pro_5g-13875.php,pending
59,Mi 10 5G,https://www.gsmarena.com/xiaomi_mi_10_5g-10082.php,pending
60,Mi 10 Lite 5G,https://www.gsmarena.com/xiaomi_mi_10_lite_5g-10159.php,pending
61,Mi 10 Lite Zoom,https://www.gsmarena.com/xiaomi_mi_10_lite_zoom-10210.php,pending
62,Mi 10 Pro 5G,https://www.gsmarena.com/xiaomi_mi_10_pro_5g-10055.php,pending
63,Mi 10 Ultra,https://www.gsmarena.com/xiaomi_mi_10_ultra-10361.php,pending
64,Mi 10 Youth 5G,https://www.gsmarena.com/xiaomi_mi_10_youth_5g-10207.php,pending
65,Mi 10i 5G,https://www.gsmarena.com/xiaomi_mi_10i_5g-10615.php,pending
66,Mi 10S,https://www.gsmarena.com/xiaomi_mi_10s-10780.php,pending
67,Mi 10T 5G,https://www.gsmarena.com/xiaomi_mi_10t_5g-10473.php,pending
68,Mi 10T Lite 5G,https://www.gsmarena.com/xiaomi_mi_10t_lite_5g-10480.php,pending
69,Mi 10T Pro 5G,https://www.gsmarena.com/xiaomi_mi_10t_pro_5g-10437.php,pending
70,Mi 11,https://www.gsmarena.com/xiaomi_mi_11-10656.php,pending
71,Mi 11 Lite,https://www.gsmarena.com/xiaomi_mi_11_lite-10665.php,pending
72,Mi 11 Lite 5G,https://www.gsmarena.com/xiaomi_mi_11_lite_5g-10815.php,pending
73,Mi 11 Pro,https://www.gsmarena.com/xiaomi_mi_11_pro-10816.php,pending
74,Mi 11 Ultra,https://www.gsmarena.com/xiaomi_mi_11_ultra-10737.php,pending
75,Mi 11i,https://www.gsmarena.com/xiaomi_mi_11i-10777.php,pending
76,Mi 11X,https://www.gsmarena.com/xiaomi_mi_11x-10775.php,pending
77,Mi 11X Pro,https://www.gsmarena.com/xiaomi_mi_11x_pro-10776.php,pending
78,Mi 1S,https://www.gsmarena.com/xiaomi_mi_1s-4929.php,pending
79,Mi 2,https://www.gsmarena.com/xiaomi_mi_2-4928.php,pending
80,Mi 2A,https://www.gsmarena.com/xiaomi_mi_2a-5646.php,pending
81,Mi 2S,https://www.gsmarena.com/xiaomi_mi_2s-5397.php,pending
82,Mi 3,https://www.gsmarena.com/xiaomi_mi_3-5678.php,pending
83,Mi 4,https://www.gsmarena.com/xiaomi_mi_4-6518.php,pending
84,Mi 4 LTE,https://www.gsmarena.com/xiaomi_mi_4_lte-6866.php,pending
85,Mi 4c,https://www.gsmarena.com/xiaomi_mi_4c-7512.php,pending
86,Mi 4i,https://www.gsmarena.com/xiaomi_mi_4i-7211.php,pending
87,Mi 4s,https://www.gsmarena.com/xiaomi_mi_4s-7962.php,pending
88,Mi 5,https://www.gsmarena.com/xiaomi_mi_5-6948.php,pending
89,Mi 5c,https://www.gsmarena.com/xiaomi_mi_5c-8439.php,pending
90,Mi 5s,https://www.gsmarena.com/xiaomi_mi_5s-7260.php,pending
91,Mi 5s Plus,https://www.gsmarena.com/xiaomi_mi_5s_plus-8350.php,pending
92,Mi 6,https://www.gsmarena.com/xiaomi_mi_6-8507.php,pending
93,Mi 6 Plus,https://www.gsmarena.com/xiaomi_mi_6_plus-8629.php,pending
